mutantNo;[FAIL | TIME | EXC | LIVE]
12;LIVE
13;LIVE
14;LIVE
15;LIVE
16;LIVE
17;LIVE
18;LIVE
35;LIVE
36;EXC
37;LIVE
38;LIVE
49;LIVE
51;LIVE
52;LIVE
53;LIVE
54;LIVE
55;LIVE
104;LIVE
105;LIVE
106;LIVE
107;LIVE
108;LIVE
109;LIVE
110;LIVE
111;LIVE
112;LIVE
113;LIVE
114;LIVE
115;LIVE
116;LIVE
117;LIVE
118;LIVE
119;LIVE
120;LIVE
121;LIVE
122;LIVE
123;LIVE
124;LIVE
125;LIVE
126;LIVE
127;LIVE
128;LIVE
129;LIVE
130;LIVE
131;LIVE
132;LIVE
133;LIVE
134;LIVE
316;LIVE
317;LIVE
318;LIVE
319;TIME
350;LIVE
351;LIVE
352;LIVE
353;LIVE
354;LIVE
355;LIVE
356;LIVE
389;LIVE
390;LIVE
